City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
192,Kieta,-6.2167,155.6333,79.57,88,100,7.14,PG,light rain
193,West Plains,36.7281,-91.8524,69.8,56,1,12.66,US,clear sky
194,San Quintin,30.4833,-115.95,62.69,72,100,18.21,MX,overcast clouds
195,Melito Di Porto Salvo,37.9222,15.7714,62.01,55,20,6.91,IT,few clouds
196,Vostok,46.4856,135.8833,24.85,72,99,9.86,RU,light snow
197,Thompson,55.7435,-97.8558,39.2,56,20,5.75,CA,few clouds
198,Muros,42.7762,-9.0603,51.01,65,2,20.62,ES,clear sky
199,Coihaique,-45.5752,-72.0662,51.8,82,75,3.44,CL,broken clouds
200,Belaya Gora,68.5333,146.4167,2.84,82,100,1.1,RU,overcast clouds
201,Honiara,-9.4333,159.95,77.7,93,100,8.59,SB,overcast clouds
202,Abu Zabad,12.35,29.25,77.67,6,16,9.75,SD,few clouds
203,Bambous Virieux,-20.3428,57.7575,75.2,94,75,12.66,MU,light rain
204,Entre Rios,-11.9419,-38.0844,70.92,93,8,3.6,BR,clear sky
205,Kushiro,42.975,144.3747,35.6,69,75,5.75,JP,broken clouds
206,Lompoc,34.6391,-120.4579,55.4,76,100,10.36,US,overcast clouds
207,Kristinehamn,59.3098,14.1081,35.6,75,20,10.36,SE,few clouds
208,Sosenskiy,54.059,35.9623,39.2,81,100,2.24,RU,overcast clouds
209,Hamilton,39.1834,-84.5333,68.0,49,20,4.61,US,few clouds
210,Mecca,21.4267,39.8261,77.49,42,0,0.58,SA,clear sky
211,Ramanagaram,12.7167,77.3,69.8,83,23,2.8,IN,haze
212,Manta,-0.95,-80.7333,80.6,74,0,4.61,EC,clear sky
213,Brandon,27.9378,-82.2859,71.01,73,1,3.44,US,clear sky
214,Banda Aceh,5.5577,95.3222,80.49,79,100,8.5,ID,overcast clouds
215,Kismayo,-0.3582,42.5454,81.99,77,13,12.06,SO,few clouds
216,Skibbereen,51.55,-9.2667,37.4,75,75,9.22,IE,broken clouds
217,Camana,-16.6228,-72.7111,69.82,86,62,8.19,PE,broken clouds
218,Aksarka,66.5606,67.7975,22.44,96,100,6.11,RU,overcast clouds
219,Fortuna,40.5982,-124.1573,53.01,87,1,12.66,US,clear sky
220,Nizhniy Tsasuchey,50.5167,115.1333,41.92,44,0,7.27,RU,clear sky
